# FIELD ID RA DEC
HYDRA-0014 iDR3.HYDRA-0014.067698 154.79903488785746 -23.336842746968273
HYDRA-0026 iDR3.HYDRA-0026.053905 158.56935543917942 -24.789269453980616
HYDRA-0027 iDR3.HYDRA-0027.013022 159.99116767563658 -25.71705088322159
HYDRA-0030 iDR3.HYDRA-0030.056772 150.67259735342748 -26.509517097536605
HYDRA-0032 iDR3.HYDRA-0032.059053 153.52309312392578 -26.455560303357167
HYDRA-0033 iDR3.HYDRA-0033.041008 154.9871043594248 -26.716498674754625
HYDRA-0033 iDR3.HYDRA-0033.054699 154.60886952514295 -26.49148368874366
HYDRA-0040 iDR3.HYDRA-0040.065741 150.9110570634915 -27.554002785137584
HYDRA-0041 iDR3.HYDRA-0041.051863 153.34144986000263 -27.69241211388132
HYDRA-0043 iDR3.HYDRA-0043.030493 156.71794221734686 -28.139549007538125
HYDRA-0051 iDR3.HYDRA-0051.014015 152.87949067044622 -29.846929347452864
HYDRA-0055 iDR3.HYDRA-0055.036184 160.2960036017294 -29.69182486876602
HYDRA-0065 iDR3.HYDRA-0065.034159 159.75488177190235 -30.72332327843924
HYDRA-0068 iDR3.HYDRA-0068.032291 150.1444224133783 -32.35357036538468
HYDRA-0070 iDR3.HYDRA-0070.008221 155.04809701943518 -32.760480445647346
HYDRA-0070 iDR3.HYDRA-0070.037307 154.0975957880894 -32.15683871977461
HYDRA-0072 iDR3.HYDRA-0072.009877 157.3975645773373 -32.7209493904378
HYDRA-0073 iDR3.HYDRA-0073.019962 159.08072532413925 -32.58396049059323
HYDRA-0073 iDR3.HYDRA-0073.074092 159.9534221339092 -31.51587238863847
HYDRA-0074 iDR3.HYDRA-0074.020335 160.19863345642378 -32.570916874742394
HYDRA-0074 iDR3.HYDRA-0074.024645 161.2360611503823 -32.496008712277316
HYDRA-0075 iDR3.HYDRA-0075.008384 162.20734231108636 -32.75750967752311
HYDRA-0078 iDR3.HYDRA-0078.009765 152.77368180448158 -34.1475829920635
HYDRA-0078 iDR3.HYDRA-0078.024760 152.6618506300254 -33.91769537727495
HYDRA-0082 iDR3.HYDRA-0082.063141 159.15769270744238 -33.32401159201917
HYDRA-0083 iDR3.HYDRA-0083.049805 159.94112989730274 -33.38466958162584
HYDRA-0086 iDR3.HYDRA-0086.068669 149.90129259539486 -34.53549830516902
HYDRA-0088 iDR3.HYDRA-0088.031292 153.80955837681108 -35.24916209221686
HYDRA-0088 iDR3.HYDRA-0088.080177 154.72285885729622 -34.53892099406186
HYDRA-0091 iDR3.HYDRA-0091.073718 159.65359731690344 -34.51260694845509
HYDRA-0095 iDR3.HYDRA-0095.058887 150.75937312284233 -35.981778650175954
HYDRA-0097 iDR3.HYDRA-0097.048240 155.55678241272884 -36.20383157542832
HYDRA-0098 iDR3.HYDRA-0098.039345 156.12836649538534 -36.4313089939912
HYDRA-0103 iDR3.HYDRA-0103.026124 149.75346329161715 -38.05645402185398
HYDRA-0103 iDR3.HYDRA-0103.086051 149.74941795937931 -37.16627504116457
HYDRA-0104 iDR3.HYDRA-0104.015130 153.3059899311486 -38.22174586329021
HYDRA-0105 iDR3.HYDRA-0105.094565 155.02340022061236 -37.102455452972016
HYDRA-0107 iDR3.HYDRA-0107.059643 158.3739364389311 -37.02435036340907
HYDRA-0112 iDR3.HYDRA-0112.040450 149.29059890583738 -39.32535678022866
HYDRA-0112 iDR3.HYDRA-0112.046838 149.18963238635553 -39.2483619133519
HYDRA-0113 iDR3.HYDRA-0113.003449 151.09742686748538 -39.80226512833489
HYDRA-0115 iDR3.HYDRA-0115.083021 156.15425902160956 -38.721281229707856
HYDRA-0115 iDR3.HYDRA-0115.095381 155.84590945114488 -38.453242706869894
HYDRA-0116 iDR3.HYDRA-0116.076609 156.8488749300271 -38.77638002124268
HYDRA-0120 iDR3.HYDRA-0120.054886 165.4613824114345 -39.02085320617119
HYDRA-0123 iDR3.HYDRA-0123.044013 154.15295022250487 -40.602733594616836
HYDRA-0123 iDR3.HYDRA-0123.046607 154.96984499602067 -40.57175857295801
HYDRA-0124 iDR3.HYDRA-0124.100639 156.14307428254764 -39.77440085329668
HYDRA-0129 iDR3.HYDRA-0129.074540 151.4516740219284 -41.71207695953476
HYDRA-0129 iDR3.HYDRA-0129.087936 150.06256897485665 -41.56294464746175
HYDRA-0129 iDR3.HYDRA-0129.104051 151.11351877372613 -41.40734137739182
HYDRA-0129 iDR3.HYDRA-0129.108522 151.2397886276733 -41.33872272724285
HYDRA-0130 iDR3.HYDRA-0130.032511 153.50936741544803 -42.229458840331816
HYDRA-0130 iDR3.HYDRA-0130.118507 152.97186199143465 -41.34958739596664
HYDRA-0131 iDR3.HYDRA-0131.031977 155.4591466358251 -42.197508277948025
HYDRA-0131 iDR3.HYDRA-0131.071714 153.63138495665757 -41.740601168444556
HYDRA-0131 iDR3.HYDRA-0131.106926 153.76698078233187 -41.32676746591061
HYDRA-0131 iDR3.HYDRA-0131.113689 154.3010813537922 -41.25778393661842
HYDRA-0132 iDR3.HYDRA-0132.020774 156.0308864690688 -42.31298640893454
HYDRA-0132 iDR3.HYDRA-0132.036942 155.98820250147352 -42.13602169361816
HYDRA-0132 iDR3.HYDRA-0132.058520 155.45480394655408 -41.87811901856163
HYDRA-0132 iDR3.HYDRA-0132.103355 157.2990808731983 -41.31992186496115
HYDRA-0132 iDR3.HYDRA-0132.117724 157.21776509745987 -41.12935706202723
HYDRA-0133 iDR3.HYDRA-0133.027080 159.15993708015426 -42.16200682427918
HYDRA-0133 iDR3.HYDRA-0133.086596 159.22711619471858 -41.34126760622123
HYDRA-0134 iDR3.HYDRA-0134.000736 160.61364746458509 -42.54459050790086
HYDRA-0135 iDR3.HYDRA-0135.063189 163.00401161250824 -41.76008196488928
HYDRA-0135 iDR3.HYDRA-0135.077406 161.11249439108533 -41.57611000547359
HYDRA-0135 iDR3.HYDRA-0135.090834 161.38284994444564 -41.40603442348375
HYDRA-0138 iDR3.HYDRA-0138.000409 151.17524744117105 -43.90666691755669
HYDRA-0138 iDR3.HYDRA-0138.005560 151.4991683976794 -43.856011702767816
HYDRA-0138 iDR3.HYDRA-0138.041474 151.237136558262 -43.49419212421287
HYDRA-0138 iDR3.HYDRA-0138.045229 152.94439926773882 -43.455588054421526
HYDRA-0138 iDR3.HYDRA-0138.119857 151.37157745729604 -42.499255845677695
HYDRA-0139 iDR3.HYDRA-0139.010874 153.5914779736975 -43.78733954903977
