# FIELD ID RA DEC
HYDRA-0071 iDR3.HYDRA-0071.038455 156.71494397222526 -32.279449478294836
HYDRA-0091 iDR3.HYDRA-0091.053355 160.24973810499273 -34.83439335706653
HYDRA-0101 iDR3.HYDRA-0101.001961 161.21908678807327 -37.041921047761456
HYDRA-0130 iDR3.HYDRA-0130.091187 152.49221843803545 -41.63448742919429
HYDRA-0158 iDR3.HYDRA-0158.075665 161.96372160323918 -46.02077985912379
SPLUS-n10s01 iDR3.SPLUS-n10s01.040262 150.589942963589 -11.9179179121025
SPLUS-n12s33 iDR3.SPLUS-n12s33.007954 195.767151048289 -15.405965688934
SPLUS-s20s38 iDR3.SPLUS-s20s38.047184 338.910416656016 -24.928703570364
SPLUS-s27s13 iDR3.SPLUS-s27s13.026446 19.4807254014679 -34.759450016314
SPLUS-s29s65 iDR3.SPLUS-s29s65.036822 348.838892818386 -37.0077468396484
SPLUS-s37s44 iDR3.SPLUS-s37s44.032874 326.743976697144 -47.843572085252
SPLUS-s26s49 iDR3.SPLUS-s26s49.015133 318.861191502029 -33.9148474541961
